Desc: rng.Exp(1.5)
Number of elements: 100000
Epsilon: 0.0001
Entropy of bytes: 7.20577
------------------------------------------
bit 31:	0.00000000000000000 false
---------------------
bit 30:	0.83155179023742676 false
bit 29:	0.83155179023742676 false
bit 28:	0.83155179023742676 false
bit 27:	0.83156663179397583 false
bit 26:	0.84005492925643921 false
bit 25:	0.92439699172973633 false
bit 24:	0.99848109483718872 false
bit 23:	0.99999219179153442 true
---------------------
bit 22:	0.97830176353454590 false
bit 21:	0.99426835775375366 false
bit 20:	0.99872601032257080 false
bit 19:	0.99952352046966553 false
bit 18:	0.99993789196014404 true
bit 17:	0.99997830390930176 true
bit 16:	0.99996995925903320 true
bit 15:	0.99998217821121216 true
bit 14:	0.99999934434890747 true
bit 13:	0.99999320507049561 true
bit 12:	0.99999809265136719 true
bit 11:	0.99995964765548706 true
bit 10:	0.99999213218688965 true
bit  9:	0.99999988079071045 true
bit  8:	0.99999982118606567 true
bit  7:	0.99999952316284180 true
bit  6:	0.99998104572296143 true
bit  5:	0.99999970197677612 true
bit  4:	0.99998712539672852 true
bit  3:	0.99999850988388062 true
bit  2:	0.99999624490737915 true
bit  1:	1.00000000000000000 true
bit  0:	0.99998050928115845 true
