Desc: rng.Gaus(-0.02177, 1.355)
Number of elements: 100000
Epsilon: 0.0001
Entropy of bytes: 7.36185
------------------------------------------
bit 31:	0.99987888336181641 false
---------------------
bit 30:	0.57995396852493286 false
bit 29:	0.57995396852493286 false
bit 28:	0.57995396852493286 false
bit 27:	0.58003318309783936 false
bit 26:	0.59191274642944336 false
bit 25:	0.73891353607177734 false
bit 24:	0.94888192415237427 false
bit 23:	0.99944317340850830 false
---------------------
bit 22:	0.97843265533447266 false
bit 21:	0.99472278356552124 false
bit 20:	0.99884557723999023 false
bit 19:	0.99963468313217163 false
bit 18:	0.99984878301620483 false
bit 17:	0.99999457597732544 true
bit 16:	0.99999862909317017 true
bit 15:	0.99998939037322998 true
bit 14:	0.99999743700027466 true
bit 13:	0.99999827146530151 true
bit 12:	0.99999666213989258 true
bit 11:	0.99999994039535522 true
bit 10:	0.99999541044235229 true
bit  9:	0.99999970197677612 true
bit  8:	0.99999600648880005 true
bit  7:	0.99999707937240601 true
bit  6:	0.99999994039535522 true
bit  5:	0.99998366832733154 true
bit  4:	0.99998760223388672 true
bit  3:	0.99999356269836426 true
bit  2:	0.99998849630355835 true
bit  1:	0.99998730421066284 true
bit  0:	0.99999541044235229 true
