Desc: trk_pt[trk_pt > 0.0 && trk_pt < 3.0]
Number of elements: 42672026
Epsilon: 0.0001
Entropy of bytes: 6.81686
------------------------------------------
bit 31:	0.00000000000000000 false
---------------------
bit 30:	0.25717908143997192 false
bit 29:	0.25717908143997192 false
bit 28:	0.25717908143997192 false
bit 27:	0.25717908143997192 false
bit 26:	0.25717908143997192 false
bit 25:	0.25717908143997192 false
bit 24:	0.25717988610267639 false
bit 23:	0.87526363134384155 false
---------------------
bit 22:	0.88679689168930054 false
bit 21:	0.97136050462722778 false
bit 20:	0.99418216943740845 false
bit 19:	0.99922913312911987 false
bit 18:	0.99987417459487915 false
bit 17:	0.99996632337570190 true
bit 16:	0.99999260902404785 true
bit 15:	0.99999809265136719 true
bit 14:	0.99999928474426270 true
bit 13:	0.99999988079071045 true
bit 12:	1.00000000000000000 true
bit 11:	1.00000000000000000 true
bit 10:	1.00000000000000000 true
bit  9:	1.00000000000000000 true
bit  8:	1.00000000000000000 true
bit  7:	0.99999994039535522 true
bit  6:	0.99999994039535522 true
bit  5:	0.99999982118606567 true
bit  4:	1.00000000000000000 true
bit  3:	1.00000000000000000 true
bit  2:	0.99999994039535522 true
bit  1:	0.99999994039535522 true
bit  0:	1.00000000000000000 true
