Desc: trk_pt
Number of elements: 43107270
Epsilon: 0.0001
Entropy of bytes: 6.82719
------------------------------------------
bit 31:	0.00000000000000000 false
---------------------
bit 30:	0.29879769682884216 false
bit 29:	0.29879769682884216 false
bit 28:	0.29879769682884216 false
bit 27:	0.29879769682884216 false
bit 26:	0.29877415299415588 false
bit 25:	0.29840841889381409 false
bit 24:	0.29693609476089478 false
bit 23:	0.87477093935012817 false
---------------------
bit 22:	0.89217990636825562 false
bit 21:	0.97075402736663818 false
bit 20:	0.99401324987411499 false
bit 19:	0.99919170141220093 false
bit 18:	0.99986594915390015 false
bit 17:	0.99996453523635864 true
bit 16:	0.99999207258224487 true
bit 15:	0.99999809265136719 true
bit 14:	0.99999922513961792 true
bit 13:	0.99999982118606567 true
bit 12:	0.99999994039535522 true
bit 11:	1.00000000000000000 true
bit 10:	1.00000000000000000 true
bit  9:	1.00000000000000000 true
bit  8:	1.00000000000000000 true
bit  7:	0.99999988079071045 true
bit  6:	0.99999994039535522 true
bit  5:	0.99999988079071045 true
bit  4:	0.99999994039535522 true
bit  3:	1.00000000000000000 true
bit  2:	1.00000000000000000 true
bit  1:	1.00000000000000000 true
bit  0:	0.99999994039535522 true
