Desc: trk_pt_poly_3
Number of elements: 43107270
Epsilon: 0.0001
Entropy of bytes: 7.33259
------------------------------------------
bit 31:	0.92962098121643066 false
---------------------
bit 30:	0.00731473369523883 false
bit 29:	0.00731494836509228 false
bit 28:	0.00731494836509228 false
bit 27:	0.00774402031674981 false
bit 26:	0.08715326339006424 false
bit 25:	0.62987434864044189 false
bit 24:	0.99393057823181152 false
bit 23:	0.99753683805465698 false
---------------------
bit 22:	0.95173197984695435 false
bit 21:	0.99235033988952637 false
bit 20:	0.99679541587829590 false
bit 19:	0.99980986118316650 false
bit 18:	0.99992632865905762 true
bit 17:	0.99997055530548096 true
bit 16:	0.99999278783798218 true
bit 15:	0.99999809265136719 true
bit 14:	0.99999988079071045 true
bit 13:	0.99999994039535522 true
bit 12:	1.00000000000000000 true
bit 11:	0.99999994039535522 true
bit 10:	0.99999994039535522 true
bit  9:	0.99999988079071045 true
bit  8:	1.00000000000000000 true
bit  7:	1.00000000000000000 true
bit  6:	1.00000000000000000 true
bit  5:	0.99999994039535522 true
bit  4:	1.00000000000000000 true
bit  3:	1.00000000000000000 true
bit  2:	0.99999994039535522 true
bit  1:	1.00000000000000000 true
bit  0:	0.99999994039535522 true
